시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU,경도,위도,좌표조회방식,좌표조회에러,보증금_정수,월세_정수,전용면적_정수,건축년도_정수,주변버스정류장수,주변CCTV수,score_deposit,score_monthly_rent,score_area,score_building_year,score_bus_access,score_cctv_safety,최적점수
부산광역시 남구 대연동,987-52,987,52,시드니캐슬,월세,16.2975,202603,500,43,3,2017,부산광역시,남구,대연동,0,2629010600,2629010600009870052,129.09111792502412,35.13260949953205,parcel_address,VWorld API error: NOT_FOUND,500.0,43.0,16.2975,2017,60,69,0.9712230215827338,0.3384615384615385,0.2901406212759196,0.6666666666666666,0.9791666666666666,0.39097744360902253,0.5925505017262551
부산광역시 남구 대연동,1283-38,1283,38,더아이원,월세,13.1275,202603,500,34,3,2019,부산광역시,남구,대연동,0,2629010600,2629010600012830038,129.0881909728238,35.136813426856136,parcel_address,VWorld API error: NOT_FOUND,500.0,34.0,13.1275,2019,51,97,0.9712230215827338,0.4769230769230769,0.12224252535684967,0.75,0.7916666666666666,0.6015037593984962,0.5890754709365031
부산광역시 부산진구 양정동,138-7,138,7,정원스카이힐,월세,27.35,202603,"2,000",29,2,2013,부산광역시,부산진구,양정동,0,2623010100,2623010100001380007,129.07545727552247,35.175107217671055,parcel_address,VWorld API error: NOT_FOUND,2000.0,29.0,27.35,2013,37,37,0.8633093525179856,0.5538461538461539,0.8755329572839705,0.5,0.5,0.15037593984962405,0.5879286160811663
부산광역시 남구 대연동,1464-7,1464,7,더샵2,월세,14.1865,202603,"2,000",36,3,2021,부산광역시,남구,대연동,0,2629010600,2629010600014640007,129.0904761645811,35.13844368235395,parcel_address,VWorld API error: NOT_FOUND,2000.0,36.0,14.1865,2021,45,117,0.8633093525179856,0.4461538461538461,0.17833214162760527,0.8333333333333334,0.6666666666666666,0.7518796992481203,0.5838422219878727
부산광역시 수영구 광안동,536-17,536,17,KDDomus,전세,27.15,202603,"13,495",0,2,2019,부산광역시,수영구,광안동,0,2650010400,2650010400005360017,129.11003049250797,35.16116560014632,parcel_address,VWorld API error: NOT_FOUND,13495.0,0.0,27.15,2019,31,60,0.036330935251798535,1.0,0.8649400174783508,0.75,0.375,0.3233082706766917,0.5769338843849436
부산광역시 수영구 망미동,391-7,391,7,리안느,전세,21.89,202603,"7,000",0,3,2022,부산광역시,수영구,망미동,0,2650010100,2650010100003910007,129.11340970480194,35.175403223025235,parcel_address,VWorld API error: NOT_FOUND,7000.0,0.0,21.89,2022,26,52,0.5035971223021583,1.0,0.5863457005905565,0.875,0.2708333333333333,0.2631578947368421,0.573949059340628
부산광역시 중구 보수동3가,71-8,71,8,일강빌,월세,12.28,202603,300,30,5,2014,부산광역시,중구,보수동3가,0,2611012200,2611012200000710008,129.0229991455434,35.103589960291586,parcel_address,VWorld API error: NOT_FOUND,300.0,30.0,12.28,2014,46,113,0.9856115107913669,0.5384615384615384,0.0773549429305368,0.5416666666666666,0.6875,0.7218045112781954,0.5709423662555161
부산광역시 동래구 안락동,446-71,446,71,에덴하우스,전세,24.18,202603,"9,300",0,2,2022,부산광역시,동래구,안락동,0,2626010200,2626010200004460071,129.10384693564447,35.19909113083138,parcel_address,VWorld API error: NOT_FOUND,9300.0,0.0,24.18,2022,27,43,0.3381294964028777,1.0,0.7076348613649004,0.875,0.2916666666666667,0.19548872180451127,0.5674030383374218
부산광역시 중구 보수동3가,71-8,71,8,일강빌,월세,14.65,202603,300,40,2,2014,부산광역시,중구,보수동3가,0,2611012200,2611012200000710008,129.0229991455434,35.103589960291586,parcel_address,VWorld API error: NOT_FOUND,300.0,40.0,14.65,2014,46,113,0.9856115107913669,0.3846153846153846,0.20288127962712857,0.5416666666666666,0.6875,0.7218045112781954,0.5652784028256037
부산광역시 부산진구 개금동,523-37,523,37,세르빌,월세,16.72,202603,"4,500",2,5,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100005230037,129.02090436553516,35.15145746145758,parcel_address,VWorld API error: NOT_FOUND,4500.0,2.0,16.72,2012,47,33,0.6834532374100719,0.9692307692307692,0.3125182066152909,0.4583333333333333,0.7083333333333334,0.12030075187969924,0.5644128935626778
부산광역시 부산진구 부전동,122-2,122,2,초이스,월세,17.61,202603,300,40,5,2010,부산광역시,부산진구,부전동,0,2623010300,2623010300001220002,129.06150664366743,35.15885727678723,parcel_address,VWorld API error: NOT_FOUND,300.0,40.0,17.61,2010,54,69,0.9856115107913669,0.3846153846153846,0.35965678875029794,0.375,0.8541666666666666,0.39097744360902253,0.5636761111665284
부산광역시 사하구 하단동,499-39,499,39,승아하우스(499-39),월세,29.1,202603,300,29,4,2002,부산광역시,사하구,하단동,0,2638010300,2638010300004990039,128.96404811104776,35.1110259974385,parcel_address,VWorld API error: NOT_FOUND,300.0,29.0,29.1,2002,25,63,0.9856115107913669,0.5538461538461539,0.9682211805831417,0.041666666666666664,0.25,0.3458646616541353,0.5583015594193511
부산광역시 수영구 광안동,186-30,186,30,골드리치하우스,전세,20.74,202603,"5,000",0,5,2012,부산광역시,수영구,광안동,0,2650010400,2650010400001860030,129.11259008968068,35.15041225300436,parcel_address,VWorld API error: NOT_FOUND,5000.0,0.0,20.74,2012,28,58,0.6474820143884892,1.0,0.525436296708244,0.4583333333333333,0.3125,0.3082706766917293,0.556783496337015
부산광역시 남구 대연동,289-23,289,23,라임팰리스,월세,12.935,202603,"5,000",10,5,2021,부산광역시,남구,대연동,0,2629010600,2629010600002890023,129.09174907217934,35.13766302804861,parcel_address,VWorld API error: NOT_FOUND,5000.0,10.0,12.935,2021,38,87,0.6474820143884892,0.8461538461538461,0.11204682079394089,0.8333333333333334,0.5208333333333334,0.5263157894736842,0.5552098039688834
부산광역시 사상구 주례동,74-46,74,46,동이빌,월세,10.8195,202603,"1,000",33,6,2018,부산광역시,사상구,주례동,0,2653010600,2653010600000740046,129.01207580617904,35.14975462916641,parcel_address,VWorld API error: NOT_FOUND,1000.0,33.0,10.8195,2018,61,54,0.935251798561151,0.49230769230769234,0.0,0.7083333333333334,1.0,0.2781954887218045,0.5513119648873153
부산광역시 동래구 온천동,480-35,480,35,스파캐슬,월세,16.481,202603,300,30,3,2013,부산광역시,동래구,온천동,0,2626010800,2626010800004800035,129.0780100392463,35.21349649528953,parcel_address,VWorld API error: NOT_FOUND,300.0,30.0,16.481,2013,54,29,0.9856115107913669,0.5384615384615384,0.29985964354757566,0.5,0.8541666666666666,0.09022556390977443,0.5498731309403273
부산광역시 수영구 광안동,102-24,102,24,카사엘,월세,25.61,202603,"8,000",2,4,2014,부산광역시,수영구,광안동,0,2650010400,2650010400001020024,129.11744102203764,35.16260960924518,parcel_address,VWorld API error: NOT_FOUND,8000.0,2.0,25.61,2014,21,54,0.4316546762589928,0.9692307692307692,0.7833743809750802,0.5416666666666666,0.16666666666666666,0.2781954887218045,0.5444985547882895
부산광역시 서구 동대신동3가,350-6,350,6,한울시너스,월세,12.52,202603,300,32,3,2011,부산광역시,서구,동대신동3가,0,2614010300,2614010300003500006,129.0169418354276,35.1133107857665,parcel_address,VWorld API error: NOT_FOUND,300.0,32.0,12.52,2011,54,68,0.9856115107913669,0.5076923076923077,0.09006647069728027,0.4166666666666667,0.8541666666666666,0.38345864661654133,0.5374122792891038
부산광역시 서구 서대신동3가,61-17,61,17,동아드림파크,월세,28.94,202603,"1,000",30,4,2003,부산광역시,서구,서대신동3가,0,2614010600,2614010600000610017,129.0164453881805,35.120671785356734,parcel_address,VWorld API error: NOT_FOUND,1000.0,30.0,28.94,2003,33,21,0.935251798561151,0.5384615384615384,0.9597468287386458,0.08333333333333333,0.4166666666666667,0.03007518796992481,0.5361073880863649
부산광역시 동래구 온천동,1464-38,1464,38,태성오피스텔,전세,21.37,202603,"10,000",0,7,2015,부산광역시,동래구,온천동,0,2626010800,2626010800014640038,129.0700196878036,35.202782592372984,parcel_address,VWorld API error: NOT_FOUND,10000.0,0.0,21.37,2015,37,36,0.28776978417266186,1.0,0.5588040570959457,0.5833333333333334,0.5,0.14285714285714285,0.5346881838069932
부산광역시 사상구 주례동,166-87,166,87,양지코쿤빌32차,월세,12.545,202603,300,24,4,2013,부산광역시,사상구,주례동,0,2653010600,2653010600001660087,129.0112198788447,35.148540795015144,parcel_address,VWorld API error: NOT_FOUND,300.0,24.0,12.545,2013,51,47,0.9856115107913669,0.6307692307692307,0.09139058817298273,0.5,0.7916666666666666,0.22556390977443608,0.5344416102066464
부산광역시 수영구 광안동,177-9,177,9,트라움하우스17차,전세,16.22,202603,"7,000",0,3,2018,부산광역시,수영구,광안동,0,2650010400,2650010400001770009,129.1142022513911,35.15267583715407,parcel_address,VWorld API error: NOT_FOUND,7000.0,0.0,16.22,2018,29,72,0.5035971223021583,1.0,0.286035857101242,0.7083333333333334,0.3333333333333333,0.41353383458646614,0.5322768149535421
부산광역시 북구 구포동,982-39,982,39,센트빌II,월세,18.43,202603,"1,000",35,3,2013,부산광역시,북구,구포동,0,2632010500,2632010500009820039,129.00052251780778,35.202317094120446,parcel_address,VWorld API error: NOT_FOUND,1000.0,35.0,18.43,2013,42,56,0.935251798561151,0.46153846153846156,0.40308784195333813,0.5,0.6041666666666666,0.2932330827067669,0.528031326221881
부산광역시 남구 대연동,899-5,899,5,엘이즈디공오,월세,18.86,202603,"1,000",63,3,2021,부산광역시,남구,대연동,0,2629010600,2629010600008990005,129.08884826682328,35.132193374034095,parcel_address,VWorld API error: NOT_FOUND,1000.0,63.0,18.86,2021,56,41,0.935251798561151,0.03076923076923077,0.42586266253542016,0.8333333333333334,0.8958333333333334,0.18045112781954886,0.5211818176180352
부산광역시 사상구 주례동,55-152,55,152,씨엔씨타운,월세,11.52,202603,100,23,2,2001,부산광역시,사상구,주례동,0,2653010600,2653010600000550152,129.01324928350726,35.15009241655984,parcel_address,VWorld API error: NOT_FOUND,100.0,23.0,11.52,2001,59,55,1.0,0.6461538461538461,0.037101771669182486,0.0,0.9583333333333334,0.2857142857142857,0.5211749330884152
부산광역시 부산진구 양정동,114-2,114,2,로얄캐슬,월세,21.27,202603,500,30,4,2011,부산광역시,부산진구,양정동,0,2623010100,2623010100001140002,129.0759523110147,35.17620124270924,parcel_address,VWorld API error: NOT_FOUND,500.0,30.0,21.27,2011,36,33,0.9712230215827338,0.5384615384615384,0.5535075871931359,0.4166666666666667,0.4791666666666667,0.12030075187969924,0.5196223911502998
부산광역시 부산진구 개금동,616-5,616,5,해오름C동,월세,14.7,202603,"1,000",14,3,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100006160005,129.0187542533928,35.148711169245445,parcel_address,VWorld API error: NOT_FOUND,1000.0,14.0,14.7,2012,43,25,0.935251798561151,0.7846153846153846,0.2055295145785334,0.4583333333333333,0.625,0.06015037593984962,0.5181726393472671
부산광역시 사상구 주례동,54-104,54,104,해랑,월세,15.9,202603,200,40,4,2012,부산광역시,사상구,주례동,0,2653010600,2653010600000540104,129.01506214696096,35.15018803572454,parcel_address,VWorld API error: NOT_FOUND,200.0,40.0,15.9,2012,51,45,0.9928057553956835,0.3846153846153846,0.2690871534122508,0.4583333333333333,0.7916666666666666,0.21052631578947367,0.5154069849499674
부산광역시 동래구 명륜동,512-1,512,1,골든빌,월세,18.52,202603,500,35,2,2013,부산광역시,동래구,명륜동,0,2626010700,2626010700005120001,129.0801748981048,35.20291672812358,parcel_address,VWorld API error: NOT_FOUND,500.0,35.0,18.52,2013,48,17,0.9712230215827338,0.46153846153846156,0.40785466486586697,0.5,0.7291666666666666,0.0,0.5153954118516091
부산광역시 부산진구 전포동,340-16,340,16,누보빌,월세,13.97,202603,500,31,7,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200003400016,129.06625487914454,35.15411702781421,parcel_address,VWorld API error: NOT_FOUND,500.0,31.0,13.97,2012,49,48,0.9712230215827338,0.523076923076923,0.1668652842880221,0.4583333333333333,0.75,0.23308270676691728,0.51446763405877
부산광역시 부산진구 개금동,616-5,616,5,해오름C동,월세,13.16,202603,"2,000",8,4,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100006160005,129.0187542533928,35.148711169245445,parcel_address,VWorld API error: NOT_FOUND,2000.0,8.0,13.16,2012,43,25,0.8633093525179856,0.8769230769230769,0.12396387807526288,0.4583333333333333,0.625,0.06015037593984962,0.5095296836016766
부산광역시 연제구 연산동,731-5,731,5,라움,월세,17.56,202603,"1,000",40,13,2019,부산광역시,연제구,연산동,0,2647010200,2647010200007310005,129.08339357039227,35.18544343191509,parcel_address,VWorld API error: NOT_FOUND,1000.0,40.0,17.56,2019,38,54,0.935251798561151,0.3846153846153846,0.357008553798893,0.75,0.5208333333333334,0.2781954887218045,0.5095085474419656
부산광역시 남구 용호동,486-40,486,40,파크블루12차,월세,16.99,202603,300,46,11,2024,부산광역시,남구,용호동,0,2629010700,2629010700004860040,129.11040443339505,35.115791054231664,parcel_address,VWorld API error: NOT_FOUND,300.0,46.0,16.99,2024,24,102,0.9856115107913669,0.29230769230769227,0.3268186753528773,0.9583333333333334,0.22916666666666666,0.6390977443609023,0.5091983284716209
부산광역시 연제구 연산동,621-2,621,2,연제베스트빌,월세,18.55,202603,500,24,2,2012,부산광역시,연제구,연산동,0,2647010200,2647010200006210002,129.08641975795751,35.18699168746559,parcel_address,VWorld API error: NOT_FOUND,500.0,24.0,18.55,2012,32,44,0.9712230215827338,0.6307692307692307,0.4094436058367099,0.4583333333333333,0.3958333333333333,0.20300751879699247,0.5091771483781471
부산광역시 부산진구 전포동,882-18,882,18,화수분,월세,20.46,202603,300,33,4,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200008820018,129.06289087021702,35.151810788469284,parcel_address,VWorld API error: NOT_FOUND,300.0,33.0,20.46,2012,37,30,0.9856115107913669,0.49230769230769234,0.5106061809803767,0.4583333333333333,0.5,0.09774436090225563,0.5089194887449906
부산광역시 동래구 명장동,57-26,57,26,칸타빌,월세,18.51,202603,500,35,2,2011,부산광역시,동래구,명장동,0,2626010100,2626010100000570026,129.1022431043729,35.205312190497864,parcel_address,VWorld API error: NOT_FOUND,500.0,35.0,18.51,2011,46,26,0.9712230215827338,0.46153846153846156,0.40732501787558606,0.4166666666666667,0.6875,0.06766917293233082,0.5087731917267359
부산광역시 북구 덕천동,422-3,422,3,제니스빌,월세,13.2672,202603,"1,000",30,2,2019,부산광역시,북구,덕천동,0,2632010400,2632010400004220003,129.01738654427504,35.21173304045424,parcel_address,VWorld API error: NOT_FOUND,1000.0,30.0,13.2672,2019,37,67,0.935251798561151,0.5384615384615384,0.129641693811075,0.75,0.5,0.37593984962406013,0.5052993936823044
부산광역시 연제구 연산동,867-31,867,31,이스타나빌,월세,20.66,202603,"4,000",25,2,2016,부산광역시,연제구,연산동,0,2647010200,2647010200008670031,129.07612206057718,35.17753453590757,parcel_address,VWorld API error: NOT_FOUND,4000.0,25.0,20.66,2016,36,27,0.7194244604316546,0.6153846153846154,0.5211991207859962,0.625,0.4791666666666667,0.07518796992481203,0.5048419451209256
부산광역시 수영구 광안동,103-41,103,41,명성콜렉트2,월세,24.345,202603,"10,000",2,2,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001030041,129.11717188688,35.163204018551745,parcel_address,VWorld API error: NOT_FOUND,10000.0,2.0,24.345,2017,19,45,0.28776978417266186,0.9692307692307692,0.7163740367045365,0.6666666666666666,0.125,0.21052631578947367,0.5035320428480482
부산광역시 수영구 광안동,145-40,145,40,흑석그린파크,전세,24.27,202603,"10,000",0,3,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001450040,129.11478746575318,35.15790540967937,parcel_address,VWorld API error: NOT_FOUND,10000.0,0.0,24.27,2017,17,47,0.28776978417266186,1.0,0.7124016842774291,0.6666666666666666,0.08333333333333333,0.22556390977443608,0.5028137242808839
부산광역시 동구 초량동,1054-1,1054,1,청용골든빌,월세,18.07,202603,300,33,3,2012,부산광역시,동구,초량동,0,2617010100,2617010100010540001,129.03656427472663,35.11518866353802,parcel_address,VWorld API error: NOT_FOUND,300.0,33.0,18.07,2012,24,95,0.9856115107913669,0.49230769230769234,0.38402055030322296,0.4583333333333333,0.22916666666666666,0.5864661654135338,0.5027439666195849
부산광역시 연제구 연산동,635-24,635,24,수림원룸,월세,17.37,202603,100,21,2,2002,부산광역시,연제구,연산동,0,2647010200,2647010200006350024,129.08662683606843,35.18527130875399,parcel_address,VWorld API error: NOT_FOUND,100.0,21.0,17.37,2002,35,59,1.0,0.676923076923077,0.34694526098355455,0.041666666666666664,0.4583333333333333,0.3157894736842105,0.4979754219672912
부산광역시 사하구 장림동,332-19,332,19,파밀리아S,월세,20.1,202603,300,44,5,2013,부산광역시,사하구,장림동,0,2638010500,2638010500003320019,128.97026844033877,35.08026382444479,parcel_address,VWorld API error: NOT_FOUND,300.0,44.0,20.1,2013,38,40,0.9856115107913669,0.32307692307692304,0.4915388893302615,0.5,0.5208333333333334,0.17293233082706766,0.4908714053908688
부산광역시 부산진구 전포동,373-17,373,17,블루빌,월세,17.66,202603,500,33,2,2013,부산광역시,부산진구,전포동,0,2623010200,2623010200003730017,129.06714898137298,35.149086220549414,parcel_address,VWorld API error: NOT_FOUND,500.0,33.0,17.66,2013,33,53,0.9712230215827338,0.49230769230769234,0.36230502370170287,0.5,0.4166666666666667,0.2706766917293233,0.4905408335320209
부산광역시 서구 충무동2가,1-25,1,25,충무프라임빌,월세,14.465,202603,500,45,4,2016,부산광역시,서구,충무동2가,0,2614012100,2614012100000010025,129.02284530135876,35.09576280315602,parcel_address,VWorld API error: NOT_FOUND,500.0,45.0,14.465,2016,36,93,0.9712230215827338,0.3076923076923077,0.19308281030693047,0.625,0.4791666666666667,0.5714285714285714,0.4898860958848767
부산광역시 서구 동대신동3가,13-20,13,20,골드캐슬,월세,16.58,202603,"1,900",32,2,2011,부산광역시,서구,동대신동3가,0,2614010300,2614010300000130020,129.01602139932078,35.118753709159165,parcel_address,VWorld API error: NOT_FOUND,1900.0,32.0,16.58,2011,45,32,0.8705035971223022,0.5076923076923077,0.3051031487513572,0.4166666666666667,0.6666666666666666,0.11278195488721804,0.485051924090161
부산광역시 서구 동대신동3가,13-13,13,13,구덕파크빌,월세,16.09,202603,500,35,2,2013,부산광역시,서구,동대신동3가,0,2614010300,2614010300000130013,129.01599611563492,35.11918261144028,parcel_address,VWorld API error: NOT_FOUND,500.0,35.0,16.09,2013,44,27,0.9712230215827338,0.46153846153846156,0.27915044622758933,0.5,0.6458333333333334,0.07518796992481203,0.48426609694600864
부산광역시 부산진구 전포동,355-14,355,14,베니스,월세,15.105,202603,"1,000",40,4,2019,부산광역시,부산진구,전포동,0,2623010200,2623010200003550014,129.06685816274927,35.15297119453396,parcel_address,VWorld API error: NOT_FOUND,1000.0,40.0,15.105,2019,43,32,0.935251798561151,0.3846153846153846,0.22698021768491308,0.75,0.625,0.11278195488721804,0.47952418347731496
부산광역시 수영구 광안동,103-16,103,16,명성콜렉트1,월세,16.585,202603,500,16,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001030016,129.11696254072075,35.163190769381536,parcel_address,VWorld API error: NOT_FOUND,500.0,16.0,16.585,2017,19,42,0.9712230215827338,0.7538461538461538,0.3053679722464978,0.6666666666666666,0.125,0.18796992481203006,0.47738843384441154
부산광역시 수영구 광안동,101-20,101,20,넘버원빌,월세,17.37,202603,300,17,5,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001010020,129.11548664566402,35.163155023036694,parcel_address,VWorld API error: NOT_FOUND,300.0,17.0,17.37,2011,19,56,0.9856115107913669,0.7384615384615385,0.34694526098355455,0.4166666666666667,0.125,0.2932330827067669,0.4755747155804054
부산광역시 수영구 광안동,135-3,135,3,하늘마루,전세,19.17,202603,"8,400",0,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001350003,129.11756991364035,35.15859990785597,parcel_address,VWorld API error: NOT_FOUND,8400.0,0.0,19.17,2017,13,70,0.40287769784172667,1.0,0.4422817192341306,0.6666666666666666,0.0,0.39849624060150374,0.47532910127997735
부산광역시 수영구 광안동,165-22,165,22,두성아빌로스,월세,19.96,202603,500,41,3,2013,부산광역시,수영구,광안동,0,2650010400,2650010400001650022,129.11318654854435,35.154805785832956,parcel_address,VWorld API error: NOT_FOUND,500.0,41.0,19.96,2013,28,58,0.9712230215827338,0.36923076923076925,0.4841238314663278,0.5,0.3125,0.3082706766917293,0.4750949748805889
부산광역시 부산진구 범천동,841-296,841,296,화승빌,월세,12.81,202603,500,35,5,2013,부산광역시,부산진구,범천동,0,2623010400,2623010400008410296,129.06225386442944,35.143144498958485,parcel_address,VWorld API error: NOT_FOUND,500.0,35.0,12.81,2013,39,63,0.9712230215827338,0.46153846153846156,0.10542623341542867,0.5,0.5416666666666666,0.3458646616541353,0.46928942480964175
부산광역시 북구 덕천동,315-19,315,19,(315-19),월세,17.46,202603,200,29,5,2012,부산광역시,북구,덕천동,0,2632010400,2632010400003150019,129.00720445180878,35.213970658127494,parcel_address,VWorld API error: NOT_FOUND,200.0,29.0,17.46,2012,25,55,0.9928057553956835,0.5538461538461539,0.3517120838960834,0.4583333333333333,0.25,0.2857142857142857,0.46872298704827625
부산광역시 부산진구 가야동,58-6,58,6,해븐빌,월세,23.19,202603,"1,000",23,4,2012,부산광역시,부산진구,가야동,0,2623011000,2623011000000580006,129.03667034635322,35.15532912481045,parcel_address,VWorld API error: NOT_FOUND,1000.0,23.0,23.19,2012,14,33,0.935251798561151,0.6461538461538461,0.6551998093270837,0.4583333333333333,0.020833333333333332,0.12030075187969924,0.46860361366231346
부산광역시 해운대구 재송동,1071-23,1071,23,첼리투스,월세,16.47,202603,500,47,6,2020,부산광역시,해운대구,재송동,0,2635010400,2635010400010710023,129.12142829950938,35.18705404946256,parcel_address,VWorld API error: NOT_FOUND,500.0,47.0,16.47,2020,31,64,0.9712230215827338,0.27692307692307694,0.29927703185826643,0.7916666666666666,0.375,0.3533834586466165,0.4680976604573379
부산광역시 수영구 광안동,702-9,702,9,세영힐스테이,월세,16.34,202603,300,51,3,2020,부산광역시,수영구,광안동,0,2650010400,2650010400007020009,129.1116593322641,35.16384737049818,parcel_address,VWorld API error: NOT_FOUND,300.0,51.0,16.34,2020,28,85,0.9856115107913669,0.2153846153846154,0.2923916209846138,0.7916666666666666,0.3125,0.5112781954887218,0.46775536988252575
부산광역시 부산진구 개금동,177-101,177,101,미즈디,월세,15.19,202603,150,42,3,2013,부산광역시,부산진구,개금동,0,2623011100,2623011100001770101,129.02261215533008,35.151561543142606,parcel_address,VWorld API error: NOT_FOUND,150.0,42.0,15.19,2013,42,40,0.9964028776978417,0.3538461538461538,0.23148221710230132,0.5,0.6041666666666666,0.17293233082706766,0.4632992888017608
부산광역시 북구 구포동,413-12,413,12,센트럴시티,월세,13.6762,202603,300,30,3,2018,부산광역시,북구,구포동,0,2632010500,2632010500004130012,128.99947996344963,35.205975768817936,parcel_address,VWorld API error: NOT_FOUND,300.0,30.0,13.6762,2018,21,81,0.9856115107913669,0.5384615384615384,0.15130425571356693,0.7083333333333334,0.16666666666666666,0.48120300751879697,0.4621420032482123
부산광역시 부산진구 부전동,410-15,410,15,화이트빌A동,월세,15.74,202603,500,37,7,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004100015,129.053876660206,35.1606408736089,parcel_address,VWorld API error: NOT_FOUND,500.0,37.0,15.74,2012,35,51,0.9712230215827338,0.4307692307692308,0.2606128015677551,0.4583333333333333,0.4583333333333333,0.2556390977443609,0.4598057243664614
